log_nH,log_U,OIII_Hb,NII_Ha,SII_Ha
1.0,-4.0,1.6035905901774659,1.237519945292911,2.499886026897652
1.0,-3.6666666666666665,1.4820399113082041,1.2253208292201383,2.51258637709773
1.0,-3.3333333333333335,1.3340517241379308,1.211290322580645,2.5387096774193543
1.0,-3.0,1.1978136387298284,1.2131050767414404,2.604486422668241
1.0,-2.666666666666667,1.1072141431422868,1.25049115913556,2.7442698100851346
1.0,-2.3333333333333335,1.0583044437440907,1.3165441176470587,2.9680147058823527
1.0,-2.0,1.0384208671131476,1.3997483221476512,3.2948825503355703
1.0,-1.666666666666667,1.0343862455017994,1.4958475818270638,3.7591597459697117
1.0,-1.3333333333333335,1.0369344413665744,1.6103971962616823,4.424065420560748
1.0,-1.0,1.0398471615720524,1.767610748002905,5.43282498184459
1.4444444444444444,-4.0,1.644787644787645,1.2494296577946769,2.5269961977186313
1.4444444444444444,-3.6666666666666665,1.5153751537515374,1.2388473261291217,2.548351343862566
1.4444444444444444,-3.3333333333333335,1.3569131832797428,1.2273420811718034,2.586817210863595
1.4444444444444444,-3.0,1.2107121836374337,1.2353940217391304,2.6762907608695654
1.4444444444444444,-2.666666666666667,1.1100228534116878,1.2850574712643679,2.8536398467432953
1.4444444444444444,-2.3333333333333335,1.0542521994134897,1.3708260105448156,3.1405975395430583
1.4444444444444444,-2.0,1.0275804429586295,1.4835051546391753,3.5737113402061857
1.4444444444444444,-1.666666666666667,1.0145843461351485,1.6257018091079225,4.22707423580786
1.4444444444444444,-1.3333333333333335,1.0040650406504066,1.8178233438485805,5.25
1.4444444444444444,-1.0,0.9855803893294881,2.1286173633440515,7.035369774919614
1.8888888888888888,-4.0,1.6926964872378065,1.262,2.5594285714285716
1.8888888888888888,-3.6666666666666665,1.5531621099143882,1.2530805687203792,2.592101105845182
1.8888888888888888,-3.3333333333333335,1.3822992700729928,1.2441778405081156,2.6478475652787576
1.8888888888888888,-3.0,1.2224856078564172,1.26109556177529,2.7692922830867657
1.8888888888888888,-2.666666666666667,1.1072928598701792,1.3282548476454292,3.004616805170822
1.8888888888888888,-2.3333333333333335,1.0372154115586691,1.4448689956331877,3.3924672489082965
