id,redshift,distance,galex.FUV,galex.FUV_err,galex.NUV,galex.NUV_err,sdss.up,sdss.up_err,sdss.gp,sdss.gp_err,sdss.rp,sdss.rp_err,sdss.ip,sdss.ip_err,sdss.zp,sdss.zp_err,2mass.J,2mass.J_err,2mass.H,2mass.H_err,2mass.Ks,2mass.Ks_err,WISE1,WISE1_err,WISE2,WISE2_err,WISE3,WISE3_err,WISE4,WISE4_err
NGC5055,0.001668,8.87,39.59999978542328,1.979999989271164,69.39999759197235,3.4699998795986176,432.99999833106995,21.649999916553497,1100.000023841858,55.000001192092896,1970.0000286102295,98.50000143051147,2890.000104904175,144.50000524520874,3339.9999141693115,166.99999570846558,4420.000076293945,221.00000381469727,6650.000095367432,579.9999833106995,4880.000114440918,282.00000524520874,,,,,,,,
NGC4151,0.00332,15.8,13.199999928474426,0.6599999964237213,13.799999840557575,0.6899999920278788,101.99999809265137,5.099999904632568,179.00000512599945,8.950000256299973,307.0000112056732,15.350000560283661,426.9999861717224,21.34999930858612,527.999997138977,26.399999856948853,683.0000281333923,34.15000140666962,791.9999957084656,39.799999445676804,781.000018119812,39.0500009059906,,,,,,,,
NGC1068,0.00379,14.4,34.299999475479126,1.7149999737739563,63.2999986410141,3.164999932050705,303.0000030994415,15.150000154972076,804.0000200271606,40.20000100135803,1409.999966621399,70.49999833106995,1860.0000143051147,93.00000071525574,2240.000009536743,112.00000047683716,3140.000104904175,157.00000524520874,3920.0000762939453,196.00000381469727,3359.999895095825,167.99999475479126,,,,,,,,
NGC0628,0.00219,9.84,73.7999975681305,3.6899998784065247,98.2000008225441,4.910000041127205,136.99999451637268,19.700000062584877,628.000020980835,31.400001049041748,1019.9999809265137,50.999999046325684,1360.0000143051147,68.00000071525574,1629.9999952316284,81.49999976158142,1330.0000429153442,79.99999821186066,207.0000022649765,335.999995470047,1090.000033378601,128.9999932050705,,,,,,,,
NGC1097,0.00424,14.5,33.50000083446503,1.6750000417232513,49.60000142455101,2.4800000712275505,,,,,,,,,,,2339.9999141693115,116.99999570846558,2670.0000762939453,158.9999943971634,2279.9999713897705,113.99999856948853,,,,,,,,
