#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
2.39377e+14	1.0336e+04	4.327e-20	7.7426e+01	8.8697e+01	1.1083e-14	3.8285e-03	9.9617e-01	1.1873e-03	2.8681e-01	7.1200e-01	2.4072e-18	7.4816e-05	5.5310e-02	7.2464e-01	1.9847e-01	1.2189e-04	3.2054e-02	5.5861e-01	3.8922e-01	1.9822e-02	1.6903e-04	3.9235e-26	0.00e+00	0.00e+00	8.9585e-04
1.43626e+15	1.0319e+04	4.319e-20	7.7426e+01	8.8620e+01	1.1117e-14	3.8219e-03	9.9618e-01	1.1866e-03	2.8679e-01	7.1202e-01	2.3868e-18	7.4422e-05	5.5234e-02	7.2427e-01	1.9891e-01	1.2130e-04	3.1956e-02	5.5904e-01	3.8892e-01	1.9786e-02	1.6893e-04	3.8854e-26	0.00e+00	0.00e+00	4.4731e-03
6.22379e+15	1.0307e+04	4.296e-20	7.7426e+01	8.8590e+01	1.1072e-14	3.8051e-03	9.9619e-01	1.1874e-03	2.8736e-01	7.1146e-01	2.3463e-18	7.3800e-05	5.5158e-02	7.2441e-01	1.9897e-01	1.2019e-04	3.1796e-02	5.6121e-01	3.8711e-01	1.9597e-02	1.6768e-04	3.8100e-26	0.00e+00	0.00e+00	1.8719e-02
2.53739e+16	1.0217e+04	4.250e-20	7.7426e+01	8.8560e+01	1.1359e-14	3.7880e-03	9.9621e-01	1.2092e-03	2.9237e-01	7.0642e-01	2.3066e-18	7.3279e-05	5.5358e-02	7.2736e-01	1.9672e-01	1.1931e-04	3.1686e-02	5.7125e-01	3.7807e-01	1.8711e-02	1.6034e-04	3.7304e-26	0.00e+00	0.00e+00	7.5447e-02
6.06102e+16	9.9283e+03	4.099e-20	7.7426e+01	8.8552e+01	1.1645e-14	3.6366e-03	9.9636e-01	1.2189e-03	2.9508e-01	7.0371e-01	1.9866e-18	7.0129e-05	5.5146e-02	7.2880e-01	1.9632e-01	1.0873e-04	3.0090e-02	5.8290e-01	3.6924e-01	1.7510e-02	1.5366e-04	3.0856e-26	0.00e+00	0.00e+00	1.4625e-01
1.01066e+17	9.6840e+03	3.972e-20	7.7426e+01	8.8523e+01	1.1768e-14	3.4976e-03	9.9650e-01	1.2357e-03	3.0107e-01	6.9770e-01	1.7013e-18	6.7325e-05	5.4835e-02	7.3204e-01	1.9444e-01	9.9660e-05	2.8702e-02	5.9632e-01	3.5846e-01	1.6268e-02	1.4600e-04	2.5575e-26	0.00e+00	0.00e+00	2.1647e-01
1.46028e+17	9.5271e+03	3.880e-20	7.7426e+01	8.8455e+01	1.1824e-14	3.4091e-03	9.9659e-01	1.2734e-03	3.1259e-01	6.8614e-01	1.5267e-18	6.5664e-05	5.4743e-02	7.3785e-01	1.9012e-01	9.5051e-05	2.8089e-02	6.1391e-01	3.4290e-01	1.4874e-02	1.3539e-04	2.2618e-26	0.00e+00	0.00e+00	2.9786e-01
2.02200e+17	9.4166e+03	3.797e-20	7.7426e+01	8.8335e+01	1.1832e-14	3.3453e-03	9.9665e-01	1.3390e-03	3.3150e-01	6.6716e-01	1.4018e-18	6.4652e-05	5.4851e-02	7.4644e-01	1.8324e-01	9.3085e-05	2.8014e-02	6.3796e-01	3.2064e-01	1.3169e-02	1.2111e-04	2.0731e-26	0.00e+00	0.00e+00	4.0168e-01
2.75223e+17	9.3471e+03	3.714e-20	7.7426e+01	8.8149e+01	1.1736e-14	3.2976e-03	9.9670e-01	1.4463e-03	3.6167e-01	6.3689e-01	1.3027e-18	6.4150e-05	5.5156e-02	7.5825e-01	1.7334e-01	9.3408e-05	2.8475e-02	6.7065e-01	2.8959e-01	1.1084e-02	1.0279e-04	1.9500e-26	0.00e+00	0.00e+00	5.3473e-01
3.70153e+17	9.3189e+03	3.636e-20	7.7426e+01	8.7869e+01	1.1667e-14	3.2851e-03	9.9671e-01	1.6273e-03	4.1048e-01	5.8790e-01	1.2474e-18	6.4634e-05	5.5846e-02	7.7390e-01	1.5962e-01	9.7569e-05	2.9771e-02	7.1440e-01	2.4705e-01	8.6003e-03	8.0180e-05	1.9316e-26	0.00e+00	0.00e+00	7.0703e-01
