#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
5.36129e+14	6.4072e+03	2.902e-22	1.0000e+01	1.0774e+01	1.1314e-12	5.6202e-03	9.9438e-01	4.7161e-02	9.5265e-01	1.8905e-04	7.2401e-16	7.0984e-04	4.7799e-01	5.2125e-01	4.5318e-05	5.7240e-03	8.8461e-01	1.0966e-01	4.7788e-06	1.1755e-36	1.1755e-36	3.4219e-24	0.00e+00	0.00e+00	3.8053e-04
3.21678e+15	6.4034e+03	2.900e-22	1.0000e+01	1.0770e+01	1.1336e-12	5.6170e-03	9.9438e-01	4.7160e-02	9.5265e-01	1.8886e-04	7.2276e-16	7.0838e-04	4.7800e-01	5.2124e-01	4.5406e-05	5.7208e-03	8.8460e-01	1.0968e-01	4.7640e-06	1.1755e-36	1.1755e-36	3.4113e-24	0.00e+00	0.00e+00	1.9018e-03
1.39394e+16	6.3937e+03	2.895e-22	1.0000e+01	1.0769e+01	1.1429e-12	5.6174e-03	9.9438e-01	4.7244e-02	9.5257e-01	1.8734e-04	7.2358e-16	7.0746e-04	4.7850e-01	5.2075e-01	4.5220e-05	5.7241e-03	8.8484e-01	1.0943e-01	4.6822e-06	1.1755e-36	1.1755e-36	3.4077e-24	0.00e+00	0.00e+00	7.9872e-03
5.68297e+16	6.3738e+03	2.879e-22	1.0000e+01	1.0768e+01	1.1669e-12	5.6286e-03	9.9437e-01	4.7619e-02	9.5220e-01	1.8021e-04	7.3036e-16	7.0944e-04	4.8063e-01	5.1862e-01	4.4466e-05	5.7478e-03	8.8594e-01	1.0831e-01	4.3608e-06	1.1755e-36	1.1755e-36	3.4217e-24	0.00e+00	0.00e+00	3.2378e-02
1.35748e+17	6.2912e+03	2.827e-22	1.0000e+01	1.0768e+01	1.2227e-12	5.5739e-03	9.9443e-01	4.7820e-02	9.5201e-01	1.7397e-04	7.1634e-16	7.0551e-04	4.8222e-01	5.1703e-01	4.3580e-05	5.7091e-03	8.8715e-01	1.0714e-01	3.9718e-06	1.1755e-36	1.1755e-36	3.2722e-24	0.00e+00	0.00e+00	6.3777e-02
2.38342e+17	6.2061e+03	2.778e-22	1.0000e+01	1.0768e+01	1.2992e-12	5.5483e-03	9.9445e-01	4.8348e-02	9.5149e-01	1.6160e-04	7.1293e-16	7.0737e-04	4.8553e-01	5.1372e-01	4.2180e-05	5.7068e-03	8.8906e-01	1.0523e-01	3.4781e-06	1.1755e-36	1.1755e-36	3.1782e-24	0.00e+00	0.00e+00	1.0441e-01
3.71713e+17	6.1143e+03	2.728e-22	1.0000e+01	1.0767e+01	1.4048e-12	5.5504e-03	9.9445e-01	4.9272e-02	9.5058e-01	1.4361e-04	7.1967e-16	7.1429e-04	4.9087e-01	5.0837e-01	4.0239e-05	5.7411e-03	8.9181e-01	1.0245e-01	2.8984e-06	1.1755e-36	1.1755e-36	3.1288e-24	0.00e+00	0.00e+00	1.5725e-01
5.45097e+17	6.0139e+03	2.678e-22	1.0000e+01	1.0765e+01	1.5547e-12	5.5892e-03	9.9441e-01	5.0764e-02	9.4912e-01	1.2056e-04	7.4030e-16	7.2783e-04	4.9900e-01	5.0024e-01	3.7691e-05	5.8240e-03	8.9559e-01	9.8582e-02	2.2628e-06	1.1755e-36	1.1755e-36	3.1360e-24	0.00e+00	0.00e+00	2.2642e-01
7.70495e+17	5.9051e+03	2.628e-22	1.0000e+01	1.0762e+01	1.7700e-12	5.6804e-03	9.9432e-01	5.3112e-02	9.4679e-01	9.4022e-05	7.8120e-16	7.5066e-04	5.1103e-01	4.8819e-01	3.4487e-05	5.9756e-03	9.0069e-01	9.3334e-02	1.6204e-06	1.1755e-36	1.1755e-36	3.2214e-24	0.00e+00	0.00e+00	3.1782e-01
1.06351e+18	5.7891e+03	2.582e-22	1.0000e+01	1.0758e+01	2.0933e-12	5.8523e-03	9.9415e-01	5.6841e-02	9.4309e-01	6.6700e-05	8.5654e-16	7.8755e-04	5.2875e-01	4.7044e-01	3.0588e-05	6.2316e-03	9.0743e-01	8.6334e-02	1.0340e-06	1.1755e-36	1.1755e-36	3.4428e-24	0.00e+00	0.00e+00	4.4023e-01
1.44444e+18	5.6677e+03	2.543e-22	1.0000e+01	1.0749e+01	2.6058e-12	6.1553e-03	9.9384e-01	6.2966e-02	9.3699e-01	4.1955e-05	9.9403e-16	8.4660e-04	5.5497e-01	4.4416e-01	2.5959e-05	6.6555e-03	9.1622e-01	7.7129e-02	5.6481e-07	1.1755e-36	1.1755e-36	3.9096e-24	0.00e+00	0.00e+00	6.0760e-01
