#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
2.54120e+10	7.8313e+03	2.532e-14	1.0000e+05	1.0242e+05	1.3862e-12	4.7503e-02	9.5250e-01	2.1523e-01	7.8468e-01	9.5113e-05	2.6928e-13	1.1854e-02	8.2483e-01	1.6331e-01	1.7446e-06	5.7769e-02	9.3660e-01	5.6263e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.9176e-21	0.00e+00	0.00e+00	1.5247e-03
1.52472e+11	7.8211e+03	2.520e-14	1.0000e+05	1.0214e+05	1.3867e-12	4.7352e-02	9.5265e-01	2.1498e-01	7.8492e-01	9.5254e-05	2.6670e-13	1.1783e-02	8.2472e-01	1.6350e-01	1.7537e-06	5.7591e-02	9.3677e-01	5.6420e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.8567e-21	0.00e+00	0.00e+00	7.6042e-03
6.60713e+11	7.8083e+03	2.501e-14	1.0000e+05	1.0206e+05	1.3942e-12	4.7304e-02	9.5270e-01	2.1562e-01	7.8428e-01	9.4778e-05	2.6631e-13	1.1752e-02	8.2531e-01	1.6293e-01	1.7439e-06	5.7541e-02	9.3684e-01	5.6223e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.8351e-21	0.00e+00	0.00e+00	3.1897e-02
2.69368e+12	7.7582e+03	2.456e-14	1.0000e+05	1.0197e+05	1.4652e-12	4.7781e-02	9.5222e-01	2.1953e-01	7.8038e-01	9.2192e-05	2.7423e-13	1.1843e-02	8.2844e-01	1.5971e-01	1.6730e-06	5.8154e-02	9.3638e-01	5.4690e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.9410e-21	0.00e+00	0.00e+00	1.3005e-01
6.43433e+12	7.5996e+03	2.317e-14	1.0000e+05	1.0203e+05	1.5348e-12	4.6730e-02	9.5327e-01	2.2328e-01	7.7663e-01	8.9167e-05	2.6400e-13	1.1763e-02	8.3194e-01	1.5630e-01	1.6359e-06	5.6959e-02	9.3760e-01	5.4417e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.6270e-21	0.00e+00	0.00e+00	2.5484e-01
1.12972e+13	7.4592e+03	2.209e-14	1.0000e+05	1.0197e+05	1.6889e-12	4.6975e-02	9.5303e-01	2.3029e-01	7.6963e-01	8.4658e-05	2.7054e-13	1.1901e-02	8.3743e-01	1.5067e-01	1.5279e-06	5.7337e-02	9.3745e-01	5.2179e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.6375e-21	0.00e+00	0.00e+00	4.1792e-01
1.76189e+13	7.3322e+03	2.118e-14	1.0000e+05	1.0171e+05	1.9657e-12	4.8642e-02	9.5136e-01	2.4173e-01	7.5819e-01	7.8549e-05	2.9684e-13	1.2268e-02	8.4533e-01	1.4240e-01	1.3511e-06	5.9450e-02	9.3576e-01	4.7911e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.9968e-21	0.00e+00	0.00e+00	6.3744e-01
2.58371e+13	7.2179e+03	2.046e-14	1.0000e+05	1.0118e+05	2.4791e-12	5.2481e-02	9.4752e-01	2.6029e-01	7.3964e-01	7.0507e-05	3.5875e-13	1.2955e-02	8.5643e-01	1.3061e-01	1.1040e-06	6.4210e-02	9.3165e-01	4.1379e-03	1.1755e-36	1.1755e-36	1.1755e-36	4.9915e-21	0.00e+00	0.00e+00	9.4535e-01
3.49863e+13	7.1339e+03	1.994e-14	1.0000e+05	1.0038e+05	3.2834e-12	5.8460e-02	9.4154e-01	2.8440e-01	7.1554e-01	6.2363e-05	4.6659e-13	1.3868e-02	8.6872e-01	1.1741e-01	8.5342e-07	7.1559e-02	9.2503e-01	3.4132e-03	1.1755e-36	1.1755e-36	1.1755e-36	6.8997e-21	0.00e+00	0.00e+00	1.2779e+00
4.35338e+13	7.1005e+03	1.976e-14	1.0000e+05	9.9440e+04	4.4692e-12	6.6988e-02	9.3301e-01	3.1289e-01	6.8705e-01	5.4955e-05	6.4894e-13	1.4967e-02	8.8081e-01	1.0422e-01	6.3415e-07	8.1952e-02	9.1533e-01	2.7215e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.0521e-20	0.00e+00	0.00e+00	1.6200e+00
