#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
1.01302e+14	1.4095e+04	1.997e-17	1.6681e+03	1.9534e+03	2.2004e-18	3.1713e-04	9.9968e-01	1.0931e-05	3.2280e-02	9.6771e-01	7.4200e-27	5.4316e-08	4.0898e-04	6.2987e-02	2.9513e-01	1.6243e-08	1.0807e-04	3.9757e-02	5.7248e-01	3.3778e-01	4.7217e-02	2.8161e-33	0.00e+00	0.00e+00	6.7656e-04
6.07812e+14	1.4072e+04	1.994e-17	1.6681e+03	1.9531e+03	2.2109e-18	3.1670e-04	9.9968e-01	1.0931e-05	3.2285e-02	9.6770e-01	7.3955e-27	5.3843e-08	4.0856e-04	6.2966e-02	2.9598e-01	1.6233e-08	1.0817e-04	3.9912e-02	5.7305e-01	3.3731e-01	4.6984e-02	2.8060e-33	0.00e+00	0.00e+00	3.3792e-03
2.63385e+15	1.4016e+04	1.986e-17	1.6681e+03	1.9531e+03	2.2301e-18	3.1604e-04	9.9968e-01	1.0974e-05	3.2405e-02	9.6758e-01	7.4818e-27	5.3135e-08	4.1167e-04	6.3510e-02	2.9849e-01	1.6348e-08	1.0914e-04	4.0520e-02	5.7491e-01	3.3549e-01	4.6388e-02	2.8113e-33	0.00e+00	0.00e+00	1.4167e-02
1.07380e+16	1.3868e+04	1.968e-17	1.6681e+03	1.9529e+03	2.2573e-18	3.1451e-04	9.9969e-01	1.1206e-05	3.3108e-02	9.6688e-01	7.8716e-27	5.2504e-08	4.2651e-04	6.6034e-02	3.0673e-01	1.6873e-08	1.1307e-04	4.2873e-02	5.8126e-01	3.2865e-01	4.4654e-02	2.8177e-33	0.00e+00	0.00e+00	5.7109e-02
2.56497e+16	1.3443e+04	1.901e-17	1.6681e+03	1.9529e+03	2.2207e-18	3.0244e-04	9.9970e-01	1.1158e-05	3.3099e-02	9.6689e-01	7.4436e-27	4.7950e-08	4.3955e-04	6.8891e-02	3.2056e-01	1.6698e-08	1.1595e-04	4.6447e-02	5.9205e-01	3.1690e-01	4.2243e-02	2.4256e-33	0.00e+00	0.00e+00	1.1079e-01
4.20836e+16	1.3063e+04	1.846e-17	1.6681e+03	1.9529e+03	2.1505e-18	2.9031e-04	9.9971e-01	1.1163e-05	3.3418e-02	9.6657e-01	6.9086e-27	4.5295e-08	4.5389e-04	7.2276e-02	3.3409e-01	1.6412e-08	1.1843e-04	5.0225e-02	6.0256e-01	3.0520e-01	3.9827e-02	2.0317e-33	0.00e+00	0.00e+00	1.5974e-01
5.83524e+16	1.2800e+04	1.812e-17	1.6681e+03	1.9527e+03	2.0877e-18	2.8198e-04	9.9972e-01	1.1401e-05	3.4450e-02	9.6554e-01	6.7456e-27	4.5037e-08	4.7420e-04	7.6540e-02	3.4681e-01	1.6572e-08	1.2287e-04	5.4425e-02	6.1199e-01	2.9406e-01	3.7493e-02	1.7946e-33	0.00e+00	0.00e+00	2.0881e-01
7.73577e+16	1.2589e+04	1.790e-17	1.6681e+03	1.9524e+03	2.0511e-18	2.7643e-04	9.9972e-01	1.1999e-05	3.6525e-02	9.6346e-01	7.1304e-27	4.6979e-08	5.0802e-04	8.2840e-02	3.6177e-01	1.7471e-08	1.3182e-04	6.0315e-02	6.2230e-01	2.8079e-01	3.4726e-02	1.6977e-33	0.00e+00	0.00e+00	2.7134e-01
1.02065e+17	1.2379e+04	1.772e-17	1.6681e+03	1.9518e+03	1.9854e-18	2.7082e-04	9.9973e-01	1.3065e-05	4.0127e-02	9.5986e-01	7.8824e-27	5.0987e-08	5.6052e-04	9.2450e-02	3.8142e-01	1.9130e-08	1.4686e-04	6.9451e-02	6.3437e-01	2.6324e-01	3.1255e-02	1.6085e-33	0.00e+00	0.00e+00	3.5099e-01
1.29762e+17	1.2197e+04	1.759e-17	1.6681e+03	1.9510e+03	1.8695e-18	2.6309e-04	9.9974e-01	1.4552e-05	4.5396e-02	9.5459e-01	8.6728e-27	5.6115e-08	6.2447e-04	1.0482e-01	4.0336e-01	2.1134e-08	1.6648e-04	8.1987e-02	6.4541e-01	2.4345e-01	2.7657e-02	1.4872e-33	0.00e+00	0.00e+00	4.2708e-01
1.54904e+17	1.2102e+04	1.758e-17	1.6681e+03	1.9501e+03	1.7262e-18	2.5602e-04	9.9974e-01	1.6439e-05	5.2148e-02	9.4784e-01	9.5801e-27	6.2037e-08	6.9238e-04	1.1824e-01	4.2352e-01	2.3577e-08	1.9022e-04	9.6819e-02	6.5255e-01	2.2476e-01	2.4520e-02	1.3884e-33	0.00e+00	0.00e+00	4.8859e-01
