#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
1.01962e+13	6.8444e+03	1.191e-18	5.9948e+02	6.5676e+02	7.4233e-19	5.9088e-05	9.9994e-01	2.7998e-04	9.0592e-01	9.3799e-02	9.0340e-27	9.4821e-08	5.6206e-03	9.4546e-01	4.8875e-02	3.9216e-07	1.6145e-02	9.3015e-01	5.3708e-02	6.7942e-07	1.1755e-36	7.2942e-35	0.00e+00	0.00e+00	4.5611e-06
6.11772e+13	6.8400e+03	1.191e-18	5.9948e+02	6.5659e+02	7.4418e-19	5.9085e-05	9.9994e-01	2.8002e-04	9.0599e-01	9.3725e-02	9.0249e-27	9.4759e-08	5.6192e-03	9.4534e-01	4.8997e-02	3.9201e-07	1.6142e-02	9.3033e-01	5.3530e-02	6.7602e-07	1.1755e-36	7.2824e-35	0.00e+00	0.00e+00	2.2805e-05
2.65101e+14	6.8323e+03	1.192e-18	5.9948e+02	6.5654e+02	7.4764e-19	5.9085e-05	9.9994e-01	2.8032e-04	9.0656e-01	9.3155e-02	9.0295e-27	9.4727e-08	5.6196e-03	9.4539e-01	4.8951e-02	3.9229e-07	1.6158e-02	9.3106e-01	5.2785e-02	6.6199e-07	1.1755e-36	7.2784e-35	0.00e+00	0.00e+00	9.5779e-05
1.08080e+15	6.8232e+03	1.190e-18	5.9948e+02	6.5644e+02	7.5137e-19	5.9075e-05	9.9994e-01	2.8133e-04	9.0940e-01	9.0321e-02	9.0499e-27	9.4688e-08	5.6224e-03	9.4564e-01	4.8698e-02	3.9331e-07	1.6206e-02	9.3386e-01	4.9933e-02	6.0996e-07	1.1755e-36	7.2807e-35	0.00e+00	0.00e+00	3.8763e-04
2.58168e+15	6.8253e+03	1.186e-18	5.9948e+02	6.5632e+02	7.4672e-19	5.8954e-05	9.9994e-01	2.8141e-04	9.1082e-01	8.8901e-02	9.0032e-27	9.4310e-08	5.6146e-03	9.4572e-01	4.8624e-02	3.9312e-07	1.6226e-02	9.3777e-01	4.6005e-02	5.3948e-07	1.1755e-36	7.2321e-35	0.00e+00	0.00e+00	7.6625e-04
4.53282e+15	6.8232e+03	1.181e-18	5.9948e+02	6.5616e+02	7.4529e-19	5.8893e-05	9.9994e-01	2.8257e-04	9.1525e-01	8.4468e-02	8.9972e-27	9.4094e-08	5.6120e-03	9.4614e-01	4.8218e-02	3.9410e-07	1.6275e-02	9.4250e-01	4.1227e-02	4.5828e-07	1.1755e-36	7.2109e-35	0.00e+00	0.00e+00	1.2580e-03
7.06931e+15	6.8345e+03	1.174e-18	5.9948e+02	6.5577e+02	7.3476e-19	5.8727e-05	9.9994e-01	2.8414e-04	9.2254e-01	7.7172e-02	8.9386e-27	9.3681e-08	5.6011e-03	9.4672e-01	4.7650e-02	3.9426e-07	1.6314e-02	9.4808e-01	3.5610e-02	3.6963e-07	1.1755e-36	7.1497e-35	0.00e+00	0.00e+00	1.8954e-03
1.03667e+16	6.8420e+03	1.167e-18	5.9948e+02	6.5527e+02	7.2576e-19	5.8565e-05	9.9994e-01	2.8670e-04	9.3293e-01	6.6782e-02	8.8891e-27	9.3300e-08	5.5924e-03	9.4757e-01	4.6816e-02	3.9496e-07	1.6373e-02	9.5437e-01	2.9255e-02	2.7744e-07	1.1755e-36	7.0844e-35	0.00e+00	0.00e+00	2.7217e-03
1.46534e+16	6.8459e+03	1.160e-18	5.9948e+02	6.5476e+02	7.1822e-19	5.8413e-05	9.9994e-01	2.9018e-04	9.4603e-01	5.3683e-02	8.8605e-27	9.3027e-08	5.5894e-03	9.4863e-01	4.5756e-02	3.9638e-07	1.6455e-02	9.6108e-01	2.2465e-02	1.8910e-07	1.1755e-36	7.0228e-35	0.00e+00	0.00e+00	3.7932e-03
2.02261e+16	6.8527e+03	1.151e-18	5.9948e+02	6.5390e+02	7.0432e-19	5.8192e-05	9.9994e-01	2.9380e-04	9.6058e-01	3.9129e-02	8.7479e-27	9.2501e-08	5.5762e-03	9.4979e-01	4.4621e-02	3.9714e-07	1.6529e-02	9.6769e-01	1.5781e-02	1.1755e-36	1.1755e-36	6.8582e-35	0.00e+00	0.00e+00	5.1809e-03
2.74705e+16	6.8565e+03	1.143e-18	5.9948e+02	6.5314e+02	6.9425e-19	5.7983e-05	9.9994e-01	2.9739e-04	9.7465e-01	2.5052e-02	8.6790e-27	9.2095e-08	5.5688e-03	9.5092e-01	4.3504e-02	3.9835e-07	1.6611e-02	9.7353e-01	9.8610e-03	1.1755e-36	1.1755e-36	6.7457e-35	0.00e+00	0.00e+00	6.9784e-03
3.68883e+16	6.8573e+03	1.136e-18	5.9948e+02	6.5258e+02	6.8545e-19	5.7799e-05	9.9994e-01	3.0032e-04	9.8608e-01	1.3615e-02	8.6225e-27	9.1802e-08	5.5661e-03	9.5189e-01	4.2537e-02	3.9988e-07	1.6693e-02	9.7800e-01	5.3110e-03	1.1755e-36	1.1755e-36	6.6341e-35	0.00e+00	0.00e+00	9.3077e-03
4.91315e+16	6.8503e+03	1.131e-18	5.9948e+02	6.5209e+02	6.7923e-19	5.7622e-05	9.9994e-01	3.0224e-04	9.9364e-01	6.0619e-03	8.5492e-27	9.1491e-08	5.5628e-03	9.5267e-01	4.1766e-02	4.0114e-07	1.6761e-02	9.8085e-01	2.3841e-03	1.1755e-36	1.1755e-36	6.4967e-35	0.00e+00	0.00e+00	1.2327e-02
6.50475e+16	6.8399e+03	1.126e-18	5.9948e+02	6.5181e+02	6.7067e-19	5.7463e-05	9.9994e-01	3.0325e-04	9.9756e-01	2.1370e-03	8.4399e-27	9.1276e-08	5.5636e-03	9.5327e-01	4.1164e-02	4.0249e-07	1.6818e-02	9.8232e-01	8.6250e-04	1.1755e-36	1.1755e-36	6.2846e-35	0.00e+00	0.00e+00	1.6240e-02
8.57384e+16	6.8306e+03	1.121e-18	5.9948e+02	6.5168e+02	6.4596e-19	5.7295e-05	9.9994e-01	3.0355e-04	9.9912e-01	5.7878e-04	8.1576e-27	9.1108e-08	5.5664e-03	9.5379e-01	4.0642e-02	4.0383e-07	1.6863e-02	9.8289e-01	2.4444e-04	1.1755e-36	1.1755e-36	5.7838e-35	0.00e+00	0.00e+00	2.1313e-02
1.12637e+17	6.8214e+03	1.115e-18	5.9948e+02	6.5166e+02	6.3268e-19	5.7087e-05	9.9994e-01	3.0352e-04	9.9958e-01	1.1840e-04	8.0030e-27	9.0896e-08	5.5679e-03	9.5434e-01	4.0090e-02	4.0498e-07	1.6902e-02	9.8304e-01	5.3669e-05	1.1755e-36	1.1755e-36	5.5197e-35	0.00e+00	0.00e+00	2.7884e-02
1.47604e+17	6.8055e+03	1.110e-18	5.9948e+02	6.5168e+02	6.2188e-19	5.6883e-05	9.9994e-01	3.0354e-04	9.9968e-01	1.8644e-05	7.8346e-27	9.0748e-08	5.5734e-03	9.5504e-01	3.9391e-02	4.0540e-07	1.6896e-02	9.8309e-01	9.4701e-06	1.1755e-36	1.1755e-36	5.2448e-35	0.00e+00	0.00e+00	3.6396e-02
1.93062e+17	6.7851e+03	1.104e-18	5.9948e+02	6.5172e+02	6.0655e-19	5.6678e-05	9.9994e-01	3.0374e-04	9.9969e-01	2.4158e-06	7.6456e-27	9.0688e-08	5.5842e-03	9.5591e-01	3.8507e-02	4.0811e-07	1.6969e-02	9.8303e-01	1.6052e-06	1.1755e-36	1.1755e-36	4.8988e-35	0.00e+00	0.00e+00	4.7421e-02
2.52157e+17	6.7646e+03	1.095e-18	5.9948e+02	6.5173e+02	5.8493e-19	5.6441e-05	9.9994e-01	3.0396e-04	9.9970e-01	2.7393e-07	7.4019e-27	9.0654e-08	5.5978e-03	9.5699e-01	3.7415e-02	4.1158e-07	1.7059e-02	9.8294e-01	4.5477e-07	1.1755e-36	1.1755e-36	4.4772e-35	0.00e+00	0.00e+00	6.1694e-02
3.28981e+17	6.7396e+03	1.086e-18	5.9948e+02	6.5174e+02	5.3836e-19	5.6209e-05	9.9994e-01	3.0443e-04	9.9970e-01	2.7267e-08	6.8888e-27	9.0739e-08	5.6185e-03	9.5834e-01	3.6043e-02	4.1651e-07	1.7184e-02	9.8282e-01	2.9858e-07	1.1755e-36	1.1755e-36	3.6926e-35	0.00e+00	0.00e+00	8.0173e-02
