#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
9.10324e+12	7.3926e+03	1.080e-18	5.9948e+02	6.4946e+02	5.6526e-15	2.5584e-03	9.9744e-01	1.3839e-02	9.8383e-01	2.3361e-03	2.6014e-17	1.5671e-04	2.0611e-01	7.9296e-01	7.7822e-04	1.3895e-03	5.2727e-01	4.7099e-01	3.5399e-04	1.1755e-36	1.1755e-36	1.7536e-25	0.00e+00	0.00e+00	1.7629e-04
5.46194e+13	7.3908e+03	1.080e-18	5.9948e+02	6.4941e+02	5.6558e-15	2.5576e-03	9.9744e-01	1.3839e-02	9.8383e-01	2.3341e-03	2.5989e-17	1.5654e-04	2.0611e-01	7.9295e-01	7.8007e-04	1.3889e-03	5.2719e-01	4.7107e-01	3.5281e-04	1.1755e-36	1.1755e-36	1.7510e-25	0.00e+00	0.00e+00	8.8126e-04
2.36684e+14	7.3867e+03	1.079e-18	5.9948e+02	6.4940e+02	5.6659e-15	2.5565e-03	9.9744e-01	1.3846e-02	9.8384e-01	2.3189e-03	2.5981e-17	1.5630e-04	2.0619e-01	7.9287e-01	7.7870e-04	1.3889e-03	5.2735e-01	4.7091e-01	3.4763e-04	1.1755e-36	1.1755e-36	1.7485e-25	0.00e+00	0.00e+00	3.6999e-03
9.64943e+14	7.3776e+03	1.075e-18	5.9948e+02	6.4939e+02	5.6938e-15	2.5554e-03	9.9744e-01	1.3880e-02	9.8388e-01	2.2407e-03	2.6051e-17	1.5622e-04	2.0660e-01	7.9247e-01	7.7171e-04	1.3917e-03	5.2824e-01	4.7004e-01	3.2748e-04	1.1755e-36	1.1755e-36	1.7479e-25	0.00e+00	0.00e+00	1.4970e-02
2.30494e+15	7.3409e+03	1.063e-18	5.9948e+02	6.4939e+02	5.7057e-15	2.5316e-03	9.9747e-01	1.3878e-02	9.8393e-01	2.1914e-03	2.5521e-17	1.5493e-04	2.0672e-01	7.9236e-01	7.6486e-04	1.3821e-03	5.2882e-01	4.6949e-01	3.0154e-04	1.1755e-36	1.1755e-36	1.6859e-25	0.00e+00	0.00e+00	2.9484e-02
4.04693e+15	7.3021e+03	1.051e-18	5.9948e+02	6.4940e+02	5.7447e-15	2.5115e-03	9.9749e-01	1.3901e-02	9.8404e-01	2.0637e-03	2.5150e-17	1.5431e-04	2.0712e-01	7.9198e-01	7.5227e-04	1.3764e-03	5.3001e-01	4.6834e-01	2.6944e-04	1.1755e-36	1.1755e-36	1.6366e-25	0.00e+00	0.00e+00	4.8203e-02
6.31153e+15	7.2600e+03	1.037e-18	5.9948e+02	6.4940e+02	5.8019e-15	2.4936e-03	9.9751e-01	1.3948e-02	9.8419e-01	1.8619e-03	2.4859e-17	1.5409e-04	2.0780e-01	7.9131e-01	7.3408e-04	1.3742e-03	5.3188e-01	4.6651e-01	2.3164e-04	1.1755e-36	1.1755e-36	1.5905e-25	0.00e+00	0.00e+00	7.2364e-02
9.25550e+15	7.2108e+03	1.022e-18	5.9948e+02	6.4939e+02	5.9028e-15	2.4793e-03	9.9752e-01	1.4032e-02	9.8438e-01	1.5895e-03	2.4715e-17	1.5433e-04	2.0893e-01	7.9021e-01	7.0977e-04	1.3771e-03	5.3474e-01	4.6370e-01	1.8925e-04	1.1755e-36	1.1755e-36	1.5521e-25	0.00e+00	0.00e+00	1.0359e-01
1.30827e+16	7.1605e+03	1.006e-18	5.9948e+02	6.4938e+02	6.0190e-15	2.4685e-03	9.9753e-01	1.4157e-02	9.8458e-01	1.2640e-03	2.4701e-17	1.5513e-04	2.1054e-01	7.8863e-01	6.8022e-04	1.3859e-03	5.3876e-01	4.5971e-01	1.4474e-04	1.1755e-36	1.1755e-36	1.5188e-25	0.00e+00	0.00e+00	1.4402e-01
1.80580e+16	7.1043e+03	9.882e-19	5.9948e+02	6.4936e+02	6.1945e-15	2.4650e-03	9.9754e-01	1.4347e-02	9.8474e-01	9.1695e-04	2.4953e-17	1.5679e-04	2.1293e-01	7.8627e-01	6.4591e-04	1.4041e-03	5.4446e-01	4.5404e-01	1.0157e-04	1.1755e-36	1.1755e-36	1.4991e-25	0.00e+00	0.00e+00	1.9649e-01
