#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
4.12053e+14	6.1716e+03	3.419e-22	1.0000e+01	1.0503e+01	2.0093e-10	2.8763e-02	9.7124e-01	1.1158e-01	8.8796e-01	4.5884e-04	6.5521e-14	5.7741e-03	6.9559e-01	2.9862e-01	2.0018e-05	3.3900e-02	9.3379e-01	3.2306e-02	1.1584e-06	1.1755e-36	1.1755e-36	7.0669e-22	0.00e+00	0.00e+00	1.4969e-03
2.47232e+15	6.1618e+03	3.408e-22	1.0000e+01	1.0484e+01	2.0188e-10	2.8704e-02	9.7130e-01	1.1154e-01	8.8800e-01	4.5881e-04	6.5112e-14	5.7455e-03	6.9556e-01	2.9868e-01	2.0081e-05	3.3832e-02	9.3380e-01	3.2363e-02	1.1594e-06	1.1755e-36	1.1755e-36	6.9913e-22	0.00e+00	0.00e+00	7.4721e-03
1.07134e+16	6.1372e+03	3.391e-22	1.0000e+01	1.0480e+01	2.0717e-10	2.8746e-02	9.7125e-01	1.1212e-01	8.8743e-01	4.5481e-04	6.5452e-14	5.7431e-03	6.9682e-01	2.9742e-01	1.9901e-05	3.3897e-02	9.3388e-01	3.2225e-02	1.1398e-06	1.1755e-36	1.1755e-36	7.0086e-22	0.00e+00	0.00e+00	3.1408e-02
4.36776e+16	6.0632e+03	3.351e-22	1.0000e+01	1.0474e+01	2.2941e-10	2.9191e-02	9.7081e-01	1.1470e-01	8.8486e-01	4.3726e-04	6.8278e-14	5.8187e-03	7.0216e-01	2.9200e-01	1.9026e-05	3.4486e-02	9.3413e-01	3.1379e-02	1.0462e-06	1.1755e-36	1.1755e-36	7.3195e-22	0.00e+00	0.00e+00	1.2863e-01
1.04332e+17	5.8230e+03	3.222e-22	1.0000e+01	1.0472e+01	2.8484e-10	2.9054e-02	9.7095e-01	1.1846e-01	8.8113e-01	4.1477e-04	6.8502e-14	5.8421e-03	7.1018e-01	2.8396e-01	1.8102e-05	3.4424e-02	9.3464e-01	3.0940e-02	9.6736e-07	1.1755e-36	1.1755e-36	7.0791e-22	0.00e+00	0.00e+00	2.5444e-01
1.63252e+17	5.6075e+03	3.117e-22	1.0000e+01	1.0470e+01	3.4886e-10	2.8942e-02	9.7106e-01	1.2171e-01	8.7789e-01	3.9561e-04	6.8652e-14	5.8662e-03	7.1705e-01	2.7707e-01	1.7305e-05	3.4382e-02	9.3509e-01	3.0532e-02	9.0270e-07	1.1755e-36	1.1755e-36	6.8915e-22	0.00e+00	0.00e+00	3.4450e-01
2.07125e+17	5.4976e+03	3.070e-22	1.0000e+01	1.0465e+01	3.9830e-10	2.9227e-02	9.7077e-01	1.2440e-01	8.7522e-01	3.8001e-04	7.0686e-14	5.9340e-03	7.2233e-01	2.7172e-01	1.6559e-05	3.4789e-02	9.3538e-01	2.9834e-02	8.3510e-07	1.1755e-36	1.1755e-36	7.0743e-22	0.00e+00	0.00e+00	4.1551e-01
2.51368e+17	5.4333e+03	3.046e-22	1.0000e+01	1.0455e+01	4.4959e-10	2.9959e-02	9.7004e-01	1.2783e-01	8.7181e-01	3.6176e-04	7.5323e-14	6.0655e-03	7.2847e-01	2.6545e-01	1.5594e-05	3.5736e-02	9.3559e-01	2.8670e-02	7.4544e-07	1.1755e-36	1.1755e-36	7.6559e-22	0.00e+00	0.00e+00	5.1013e-01
3.08884e+17	5.3663e+03	3.024e-22	1.0000e+01	1.0440e+01	5.2346e-10	3.1084e-02	9.6892e-01	1.3260e-01	8.6706e-01	3.3880e-04	8.2694e-14	6.2579e-03	7.3654e-01	2.5719e-01	1.4355e-05	3.7177e-02	9.3575e-01	2.7074e-02	6.3665e-07	1.1755e-36	1.1755e-36	8.6401e-22	0.00e+00	0.00e+00	6.3776e-01
3.83654e+17	5.3026e+03	3.005e-22	1.0000e+01	1.0417e+01	6.3239e-10	3.2830e-02	9.6717e-01	1.3936e-01	8.6033e-01	3.1047e-04	9.4807e-14	6.5411e-03	7.4717e-01	2.4627e-01	1.2791e-05	3.9397e-02	9.3568e-01	2.4919e-02	5.1077e-07	1.1755e-36	1.1755e-36	1.0372e-21	0.00e+00	0.00e+00	8.1299e-01
4.80856e+17	5.2528e+03	2.996e-22	1.0000e+01	1.0393e+01	8.0157e-10	3.5657e-02	9.6434e-01	1.4933e-01	8.5039e-01	2.7630e-04	1.1646e-13	6.9736e-03	7.6141e-01	2.3160e-01	1.0843e-05	4.2964e-02	9.3500e-01	2.2038e-02	3.7351e-07	1.1755e-36	1.1755e-36	1.3760e-21	0.00e+00	0.00e+00	1.0604e+00
6.02091e+17	5.2339e+03	2.992e-22	1.0000e+01	1.0325e+01	1.0565e-09	4.0006e-02	9.5999e-01	1.6332e-01	8.3645e-01	2.3868e-04	1.5419e-13	7.5673e-03	7.7887e-01	2.1355e-01	8.6893e-06	4.8415e-02	9.3304e-01	1.8544e-02	2.4521e-07	1.1755e-36	1.1755e-36	2.0370e-21	0.00e+00	0.00e+00	1.3954e+00
7.31594e+17	5.2676e+03	3.007e-22	1.0000e+01	1.0248e+01	1.3953e-09	4.6131e-02	9.5387e-01	1.8083e-01	8.1897e-01	2.0443e-04	2.1741e-13	8.3014e-03	7.9759e-01	1.9410e-01	6.6695e-06	5.6035e-02	9.2899e-01	1.4977e-02	1.4952e-07	1.1755e-36	1.1755e-36	3.3169e-21	0.00e+00	0.00e+00	1.7637e+00
