#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
3.97307e+14	6.6776e+03	3.690e-22	1.0000e+01	1.0521e+01	1.6729e-10	2.9833e-02	9.7017e-01	7.9866e-02	9.1817e-01	1.9623e-03	6.0673e-14	5.7031e-03	6.1394e-01	3.8028e-01	7.8831e-05	3.3955e-02	9.0525e-01	6.0790e-02	8.6114e-06	1.1755e-36	1.1755e-36	8.1338e-22	0.00e+00	0.00e+00	1.4970e-03
2.38384e+15	6.6684e+03	3.678e-22	1.0000e+01	1.0502e+01	1.6780e-10	2.9764e-02	9.7024e-01	7.9830e-02	9.1821e-01	1.9628e-03	6.0258e-14	5.6745e-03	6.1385e-01	3.8040e-01	7.9125e-05	3.3875e-02	9.0519e-01	6.0930e-02	8.6276e-06	1.1755e-36	1.1755e-36	8.0416e-22	0.00e+00	0.00e+00	7.4711e-03
1.03300e+16	6.6451e+03	3.659e-22	1.0000e+01	1.0499e+01	1.7129e-10	2.9780e-02	9.7022e-01	8.0187e-02	9.1787e-01	1.9484e-03	6.0450e-14	5.6710e-03	6.1501e-01	3.7924e-01	7.8620e-05	3.3908e-02	9.0528e-01	6.0801e-02	8.5140e-06	1.1755e-36	1.1755e-36	8.0390e-22	0.00e+00	0.00e+00	3.1380e-02
4.21146e+16	6.5771e+03	3.614e-22	1.0000e+01	1.0494e+01	1.8612e-10	3.0130e-02	9.6987e-01	8.1725e-02	9.1639e-01	1.8840e-03	6.2553e-14	5.7412e-03	6.1983e-01	3.7435e-01	7.5919e-05	3.4378e-02	9.0591e-01	5.9705e-02	7.9312e-06	1.1755e-36	1.1755e-36	8.3037e-22	0.00e+00	0.00e+00	1.2814e-01
1.00598e+17	6.3516e+03	3.466e-22	1.0000e+01	1.0496e+01	2.1899e-10	2.9732e-02	9.7027e-01	8.4100e-02	9.1409e-01	1.8071e-03	6.1607e-14	5.7485e-03	6.2740e-01	3.6677e-01	7.3646e-05	3.3994e-02	9.0619e-01	5.9805e-02	7.5478e-06	1.1755e-36	1.1755e-36	7.8148e-22	0.00e+00	0.00e+00	2.5227e-01
1.58194e+17	6.1502e+03	3.347e-22	1.0000e+01	1.0498e+01	2.5487e-10	2.9399e-02	9.7060e-01	8.6106e-02	9.1215e-01	1.7405e-03	6.0719e-14	5.7592e-03	6.3381e-01	3.6036e-01	7.1622e-05	3.3678e-02	9.0649e-01	5.9824e-02	7.2142e-06	1.1755e-36	1.1755e-36	7.4116e-22	0.00e+00	0.00e+00	3.4339e-01
2.03759e+17	6.0453e+03	3.292e-22	1.0000e+01	1.0494e+01	2.8436e-10	2.9597e-02	9.7040e-01	8.7803e-02	9.1052e-01	1.6786e-03	6.2080e-14	5.8237e-03	6.3892e-01	3.5518e-01	6.9147e-05	3.3978e-02	9.0712e-01	5.8894e-02	6.7390e-06	1.1755e-36	1.1755e-36	7.5116e-22	0.00e+00	0.00e+00	4.2198e-01
2.52117e+17	5.9770e+03	3.265e-22	1.0000e+01	1.0490e+01	3.1898e-10	3.0296e-02	9.6970e-01	8.9987e-02	9.0841e-01	1.6003e-03	6.5970e-14	5.9623e-03	6.4510e-01	3.4887e-01	6.5530e-05	3.4886e-02	9.0817e-01	5.6938e-02	6.0438e-06	1.1755e-36	1.1755e-36	8.0712e-22	0.00e+00	0.00e+00	5.2657e-01
3.14984e+17	5.9111e+03	3.238e-22	1.0000e+01	1.0479e+01	3.6740e-10	3.1393e-02	9.6861e-01	9.2930e-02	9.0557e-01	1.5020e-03	7.2192e-14	6.1680e-03	6.5310e-01	3.4067e-01	6.0838e-05	3.6294e-02	9.0955e-01	5.4154e-02	5.1869e-06	1.1755e-36	1.1755e-36	9.0341e-22	0.00e+00	0.00e+00	6.6746e-01
3.96710e+17	5.8547e+03	3.216e-22	1.0000e+01	1.0455e+01	4.3682e-10	3.3114e-02	9.6689e-01	9.6956e-02	9.0166e-01	1.3810e-03	8.2373e-14	6.4706e-03	6.6344e-01	3.3003e-01	5.4884e-05	3.8484e-02	9.1124e-01	5.0276e-02	4.1835e-06	1.1755e-36	1.1755e-36	1.0728e-21	0.00e+00	0.00e+00	8.6065e-01
