#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
2.07667e+14	5.9275e+03	2.785e-21	2.7826e+01	3.0351e+01	1.9509e-17	1.4019e-04	9.9986e-01	7.3097e-04	9.5727e-01	4.2002e-02	1.9054e-24	5.1066e-07	1.3635e-02	9.6624e-01	2.0114e-02	2.4674e-06	3.8908e-02	9.3660e-01	2.4493e-02	1.3353e-07	1.1755e-36	1.9713e-32	0.00e+00	0.00e+00	1.0227e-05
1.24600e+15	5.9264e+03	2.784e-21	2.7826e+01	3.0348e+01	1.9519e-17	1.4017e-04	9.9986e-01	7.3092e-04	9.5730e-01	4.1971e-02	1.9029e-24	5.1035e-07	1.3631e-02	9.6619e-01	2.0167e-02	2.4656e-06	3.8887e-02	9.3670e-01	2.4407e-02	1.3285e-07	1.1755e-36	1.9684e-32	0.00e+00	0.00e+00	5.1130e-05
5.39935e+15	5.9257e+03	2.784e-21	2.7826e+01	3.0346e+01	1.9520e-17	1.4014e-04	9.9986e-01	7.3101e-04	9.5755e-01	4.1718e-02	1.9008e-24	5.1003e-07	1.3629e-02	9.6620e-01	2.0161e-02	2.4644e-06	3.8878e-02	9.3706e-01	2.4058e-02	1.3010e-07	1.1755e-36	1.9658e-32	0.00e+00	0.00e+00	2.1471e-04
2.20127e+16	5.9282e+03	2.780e-21	2.7826e+01	3.0343e+01	1.9444e-17	1.4002e-04	9.9986e-01	7.3159e-04	9.5887e-01	4.0397e-02	1.8959e-24	5.0921e-07	1.3622e-02	9.6630e-01	2.0075e-02	2.4627e-06	3.8877e-02	9.3840e-01	2.2718e-02	1.1755e-36	1.1755e-36	1.9604e-32	0.00e+00	0.00e+00	8.6848e-04
5.25813e+16	5.9216e+03	2.775e-21	2.7826e+01	3.0341e+01	1.9494e-17	1.3987e-04	9.9986e-01	7.3203e-04	9.5965e-01	3.9619e-02	1.8895e-24	5.0777e-07	1.3619e-02	9.6637e-01	2.0003e-02	2.4608e-06	3.8868e-02	9.4027e-01	2.0857e-02	1.1755e-36	1.1755e-36	1.9494e-32	0.00e+00	0.00e+00	1.7175e-03
9.23206e+16	5.9250e+03	2.765e-21	2.7826e+01	3.0336e+01	1.9339e-17	1.3956e-04	9.9986e-01	7.3269e-04	9.6176e-01	3.7505e-02	1.8766e-24	5.0605e-07	1.3606e-02	9.6655e-01	1.9837e-02	2.4548e-06	3.8820e-02	9.4256e-01	1.8622e-02	1.1755e-36	1.1755e-36	1.9332e-32	0.00e+00	0.00e+00	2.8187e-03
1.43982e+17	5.9199e+03	2.758e-21	2.7826e+01	3.0331e+01	1.9339e-17	1.3936e-04	9.9986e-01	7.3508e-04	9.6525e-01	3.4014e-02	1.8707e-24	5.0505e-07	1.3606e-02	9.6685e-01	1.9543e-02	2.4560e-06	3.8852e-02	9.4513e-01	1.6016e-02	1.1755e-36	1.1755e-36	1.9205e-32	0.00e+00	0.00e+00	4.2483e-03
2.11141e+17	5.9229e+03	2.745e-21	2.7826e+01	3.0317e+01	1.9151e-17	1.3896e-04	9.9986e-01	7.3751e-04	9.7002e-01	2.9243e-02	1.8556e-24	5.0319e-07	1.3591e-02	9.6724e-01	1.9168e-02	2.4528e-06	3.8855e-02	9.4803e-01	1.3117e-02	1.1755e-36	1.1755e-36	1.8988e-32	0.00e+00	0.00e+00	6.1014e-03
2.98448e+17	5.9161e+03	2.735e-21	2.7826e+01	3.0307e+01	1.9143e-17	1.3870e-04	9.9986e-01	7.4170e-04	9.7590e-01	2.3360e-02	1.8509e-24	5.0228e-07	1.3595e-02	9.6772e-01	1.8686e-02	2.4587e-06	3.8960e-02	9.5097e-01	1.0064e-02	1.1755e-36	1.1755e-36	1.8839e-32	0.00e+00	0.00e+00	8.5059e-03
4.11947e+17	5.9136e+03	2.721e-21	2.7826e+01	3.0293e+01	1.9023e-17	1.3829e-04	9.9986e-01	7.4577e-04	9.8227e-01	1.6987e-02	1.8417e-24	5.0086e-07	1.3590e-02	9.6823e-01	1.8172e-02	2.4645e-06	3.9084e-02	9.5382e-01	7.0945e-03	1.1755e-36	1.1755e-36	1.8640e-32	0.00e+00	0.00e+00	1.1623e-02
5.59496e+17	5.9083e+03	2.707e-21	2.7826e+01	3.0278e+01	1.8709e-17	1.3787e-04	9.9986e-01	7.4980e-04	9.8831e-01	1.0939e-02	1.8130e-24	4.9957e-07	1.3590e-02	9.6874e-01	1.7667e-02	2.4744e-06	3.9261e-02	9.5625e-01	4.4845e-03	1.1755e-36	1.1755e-36	1.7982e-32	0.00e+00	0.00e+00	1.5662e-02
7.51309e+17	5.8899e+03	2.696e-21	2.7826e+01	3.0263e+01	1.8838e-17	1.3760e-04	9.9986e-01	7.5404e-04	9.9320e-01	6.0459e-03	1.8136e-24	4.9911e-07	1.3608e-02	9.6919e-01	1.7197e-02	2.4924e-06	3.9517e-02	9.5801e-01	2.4696e-03	1.1755e-36	1.1755e-36	1.7805e-32	0.00e+00	0.00e+00	2.0903e-02
1.00067e+18	5.8786e+03	2.681e-21	2.7826e+01	3.0254e+01	1.8473e-17	1.3716e-04	9.9986e-01	7.5666e-04	9.9646e-01	2.7814e-03	1.7775e-24	4.9834e-07	1.3621e-02	9.6955e-01	1.6831e-02	2.5091e-06	3.9760e-02	9.5909e-01	1.1478e-03	1.1755e-36	1.1755e-36	1.6930e-32	0.00e+00	0.00e+00	2.7694e-02
1.32483e+18	5.8565e+03	2.668e-21	2.7826e+01	3.0249e+01	1.8596e-17	1.3684e-04	9.9986e-01	7.5918e-04	9.9821e-01	1.0268e-03	1.7755e-24	4.9826e-07	1.3649e-02	9.6984e-01	1.6512e-02	2.5306e-06	4.0031e-02	9.5953e-01	4.3524e-04	1.1755e-36	1.1755e-36	1.6666e-32	0.00e+00	0.00e+00	3.6502e-02
1.74625e+18	5.8279e+03	2.655e-21	2.7826e+01	3.0247e+01	1.8417e-17	1.3656e-04	9.9986e-01	7.6175e-04	9.9894e-01	2.9434e-04	1.7395e-24	4.9885e-07	1.3695e-02	9.7010e-01	1.6206e-02	2.5574e-06	4.0335e-02	9.5953e-01	1.3052e-04	1.1755e-36	1.1755e-36	1.5671e-32	0.00e+00	0.00e+00	4.7928e-02
2.29409e+18	5.7939e+03	2.640e-21	2.7826e+01	3.0246e+01	1.8667e-17	1.3631e-04	9.9986e-01	7.6478e-04	9.9917e-01	6.4088e-05	1.7406e-24	5.0008e-07	1.3756e-02	9.7037e-01	1.5868e-02	2.5907e-06	4.0688e-02	9.5928e-01	3.0379e-05	1.1755e-36	1.1755e-36	1.5330e-32	0.00e+00	0.00e+00	6.2756e-02
3.00628e+18	5.7540e+03	2.623e-21	2.7826e+01	3.0246e+01	1.8371e-17	1.3612e-04	9.9986e-01	7.6876e-04	9.9922e-01	1.0705e-05	1.6891e-24	5.0219e-07	1.3839e-02	9.7070e-01	1.5464e-02	2.6340e-06	4.1128e-02	9.5886e-01	5.5382e-06	1.1755e-36	1.1755e-36	1.3959e-32	0.00e+00	0.00e+00	8.2006e-02
3.93212e+18	5.7081e+03	2.603e-21	2.7826e+01	3.0246e+01	1.8444e-17	1.3604e-04	9.9986e-01	7.7421e-04	9.9922e-01	1.4519e-06	1.6714e-24	5.0555e-07	1.3952e-02	9.7108e-01	1.4966e-02	2.6917e-06	4.1693e-02	9.5830e-01	8.2746e-07	1.1755e-36	1.1755e-36	1.3119e-32	0.00e+00	0.00e+00	1.0701e-01
5.13572e+18	5.6560e+03	2.579e-21	2.7826e+01	3.0246e+01	1.8464e-17	1.3614e-04	9.9986e-01	7.8173e-04	9.9922e-01	1.7063e-07	1.6507e-24	5.1072e-07	1.4105e-02	9.7154e-01	1.4356e-02	2.7695e-06	4.2434e-02	9.5756e-01	1.1755e-36	1.1755e-36	1.1755e-36	1.2126e-32	0.00e+00	0.00e+00	1.3955e-01
6.70041e+18	5.5983e+03	2.553e-21	2.7826e+01	3.0246e+01	1.8097e-17	1.3653e-04	9.9986e-01	7.9210e-04	9.9921e-01	1.7567e-08	1.6005e-24	5.1849e-07	1.4312e-02	9.7208e-01	1.3612e-02	2.8746e-06	4.3400e-02	9.5660e-01	1.1755e-36	1.1755e-36	1.1755e-36	1.0600e-32	0.00e+00	0.00e+00	1.8197e-01
7.96403e+18	5.5184e+03	2.521e-21	2.7826e+01	3.0246e+01	1.7406e-17	1.3555e-04	9.9986e-01	7.9555e-04	9.9920e-01	3.2981e-09	1.4728e-24	5.1861e-07	1.4403e-02	9.7254e-01	1.3057e-02	2.9381e-06	4.4073e-02	9.5592e-01	1.1755e-36	1.1755e-36	1.1755e-36	8.5878e-33	0.00e+00	0.00e+00	2.0003e-01
8.76043e+18	5.4943e+03	2.509e-21	2.7826e+01	3.0246e+01	1.7461e-17	1.3582e-04	9.9986e-01	8.0071e-04	9.9920e-01	1.3445e-09	1.4731e-24	5.2280e-07	1.4509e-02	9.7277e-01	1.2720e-02	2.9914e-06	4.4547e-02	9.5545e-01	1.1755e-36	1.1755e-36	1.1755e-36	8.3134e-33	0.00e+00	0.00e+00	2.1993e-01
9.63648e+18	5.4702e+03	2.497e-21	2.7826e+01	3.0246e+01	1.6829e-17	1.3619e-04	9.9986e-01	8.0662e-04	9.9919e-01	5.3673e-10	1.4185e-24	5.2768e-07	1.4628e-02	9.7301e-01	1.2362e-02	3.0518e-06	4.5075e-02	9.5492e-01	1.1755e-36	1.1755e-36	1.1755e-36	7.3832e-33	0.00e+00	0.00e+00	2.4188e-01
