#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
8.88181e+12	7.1339e+03	1.076e-18	5.9948e+02	6.4161e+02	2.6962e-13	1.1917e-02	9.8808e-01	6.2048e-02	9.3748e-01	4.7405e-04	6.4233e-15	1.9306e-03	5.4862e-01	4.4940e-01	5.5571e-05	1.3046e-02	9.0727e-01	7.9681e-02	5.1435e-06	1.1755e-36	1.1755e-36	4.5312e-23	0.00e+00	0.00e+00	8.0135e-04
5.32909e+13	7.1277e+03	1.075e-18	5.9948e+02	6.4115e+02	2.7025e-13	1.1904e-02	9.8810e-01	6.2048e-02	9.3748e-01	4.7365e-04	6.4041e-15	1.9246e-03	5.4864e-01	4.4938e-01	5.5699e-05	1.3033e-02	9.0723e-01	7.9729e-02	5.1327e-06	1.1755e-36	1.1755e-36	4.5071e-23	0.00e+00	0.00e+00	4.0033e-03
2.30927e+14	7.1174e+03	1.070e-18	5.9948e+02	6.4101e+02	2.7202e-13	1.1898e-02	9.8810e-01	6.2195e-02	9.3734e-01	4.6996e-04	6.4053e-15	1.9214e-03	5.4931e-01	4.4871e-01	5.5446e-05	1.3032e-02	9.0743e-01	7.9528e-02	5.0470e-06	1.1755e-36	1.1755e-36	4.4941e-23	0.00e+00	0.00e+00	1.6805e-02
9.41472e+14	7.0839e+03	1.060e-18	5.9948e+02	6.4091e+02	2.8149e-13	1.1954e-02	9.8805e-01	6.2982e-02	9.3657e-01	4.5175e-04	6.5154e-15	1.9331e-03	5.5271e-01	4.4530e-01	5.4099e-05	1.3123e-02	9.0853e-01	7.8343e-02	4.6733e-06	1.1755e-36	1.1755e-36	4.5457e-23	0.00e+00	0.00e+00	6.8253e-02
2.24887e+15	6.9677e+03	1.024e-18	5.9948e+02	6.4098e+02	2.9506e-13	1.1743e-02	9.8826e-01	6.3617e-02	9.3595e-01	4.3522e-04	6.3064e-15	1.9202e-03	5.5593e-01	4.4210e-01	5.3026e-05	1.2922e-02	9.0924e-01	7.7839e-02	4.3152e-06	1.1755e-36	1.1755e-36	4.2388e-23	0.00e+00	0.00e+00	1.3395e-01
3.94850e+15	6.8572e+03	9.927e-19	5.9948e+02	6.4098e+02	3.1662e-13	1.1681e-02	9.8832e-01	6.4863e-02	9.3473e-01	4.0382e-04	6.2923e-15	1.9328e-03	5.6152e-01	4.3649e-01	5.0885e-05	1.2904e-02	9.1087e-01	7.6219e-02	3.7817e-06	1.1755e-36	1.1755e-36	4.1074e-23	0.00e+00	0.00e+00	2.1891e-01
6.15801e+15	6.7470e+03	9.645e-19	5.9948e+02	6.4082e+02	3.4973e-13	1.1770e-02	9.8823e-01	6.6907e-02	9.3273e-01	3.5874e-04	6.4798e-15	1.9705e-03	5.7005e-01	4.2793e-01	4.7661e-05	1.3072e-02	9.1344e-01	7.3485e-02	3.1146e-06	1.1755e-36	1.1755e-36	4.1365e-23	0.00e+00	0.00e+00	3.3020e-01
9.03037e+15	6.6367e+03	9.393e-19	5.9948e+02	6.4048e+02	4.0104e-13	1.2064e-02	9.8794e-01	7.0158e-02	9.2954e-01	3.0135e-04	6.9604e-15	2.0422e-03	5.8268e-01	4.1524e-01	4.3239e-05	1.3500e-02	9.1740e-01	6.9101e-02	2.3532e-06	1.1755e-36	1.1755e-36	4.3838e-23	0.00e+00	0.00e+00	4.7849e-01
1.27644e+16	6.5223e+03	9.195e-19	5.9948e+02	6.3983e+02	4.8775e-13	1.2685e-02	9.8732e-01	7.5398e-02	9.2437e-01	2.3514e-04	7.9608e-15	2.1657e-03	6.0132e-01	3.9647e-01	3.7493e-05	1.4337e-02	9.2287e-01	6.2787e-02	1.5819e-06	1.1755e-36	1.1755e-36	5.0161e-23	0.00e+00	0.00e+00	6.8119e-01
1.76187e+16	6.4318e+03	9.054e-19	5.9948e+02	6.3890e+02	6.2897e-13	1.3836e-02	9.8616e-01	8.4000e-02	9.1583e-01	1.6737e-04	9.9619e-15	2.3703e-03	6.2836e-01	3.6923e-01	3.0520e-05	1.5840e-02	9.3000e-01	5.4155e-02	9.0366e-07	1.1755e-36	1.1755e-36	6.4404e-23	0.00e+00	0.00e+00	9.6862e-01
2.29971e+16	6.3558e+03	9.004e-19	5.9948e+02	6.3736e+02	8.5279e-13	1.5549e-02	9.8445e-01	9.6117e-02	9.0377e-01	1.1346e-04	1.3331e-14	2.6421e-03	6.6094e-01	3.3639e-01	2.3713e-05	1.8039e-02	9.3711e-01	4.4852e-02	4.6842e-07	1.1755e-36	1.1755e-36	9.0520e-23	0.00e+00	0.00e+00	1.2788e+00
2.78033e+16	6.3283e+03	9.068e-19	5.9948e+02	6.3502e+02	1.1469e-12	1.7750e-02	9.8225e-01	1.1083e-01	8.8909e-01	7.9303e-05	1.8422e-14	2.9479e-03	6.9376e-01	3.0328e-01	1.8189e-05	2.0827e-02	9.4264e-01	3.6534e-02	2.4533e-07	1.1755e-36	1.1755e-36	1.3439e-22	0.00e+00	0.00e+00	1.5706e+00
3.18356e+16	6.3329e+03	9.206e-19	5.9948e+02	6.3256e+02	1.5197e-12	2.0375e-02	9.7963e-01	1.2783e-01	8.7211e-01	5.8290e-05	2.5752e-14	3.2669e-03	7.2480e-01	2.7192e-01	1.3904e-05	2.4126e-02	9.4629e-01	2.9583e-02	1.3370e-07	1.1755e-36	1.1755e-36	2.0467e-22	0.00e+00	0.00e+00	1.8577e+00
3.53923e+16	6.3537e+03	9.386e-19	5.9948e+02	6.2998e+02	2.0156e-12	2.3544e-02	9.7646e-01	1.4801e-01	8.5194e-01	4.4158e-05	3.6553e-14	3.6007e-03	7.5474e-01	2.4165e-01	1.0472e-05	2.8091e-02	9.4825e-01	2.3664e-02	1.1755e-36	1.1755e-36	1.1755e-36	3.1996e-22	0.00e+00	0.00e+00	2.1600e+00
3.86350e+16	6.3889e+03	9.582e-19	5.9948e+02	6.2626e+02	2.6834e-12	2.7402e-02	9.7260e-01	1.7222e-01	8.2775e-01	3.3997e-05	5.2701e-14	3.9427e-03	7.8359e-01	2.1246e-01	7.7250e-06	3.2902e-02	9.4848e-01	1.8620e-02	1.1755e-36	1.1755e-36	1.1755e-36	5.1243e-22	0.00e+00	0.00e+00	2.4809e+00
