#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
5.45150e+14	6.6602e+03	3.233e-22	1.0000e+01	1.0831e+01	1.2826e-13	2.7524e-03	9.9725e-01	1.4852e-02	9.8297e-01	2.1781e-03	3.2364e-17	1.7110e-04	2.1887e-01	7.8027e-01	6.8870e-04	1.5219e-03	5.3983e-01	4.5832e-01	3.3407e-04	1.1755e-36	1.1755e-36	2.0413e-25	0.00e+00	0.00e+00	1.8946e-04
3.27090e+15	6.6579e+03	3.232e-22	1.0000e+01	1.0830e+01	1.2841e-13	2.7517e-03	9.9725e-01	1.4853e-02	9.8297e-01	2.1760e-03	3.2337e-17	1.7091e-04	2.1888e-01	7.8026e-01	6.9019e-04	1.5213e-03	5.3974e-01	4.5840e-01	3.3295e-04	1.1755e-36	1.1755e-36	2.0384e-25	0.00e+00	0.00e+00	9.4714e-04
1.41739e+16	6.6526e+03	3.229e-22	1.0000e+01	1.0829e+01	1.2887e-13	2.7510e-03	9.9725e-01	1.4863e-02	9.8298e-01	2.1611e-03	3.2342e-17	1.7070e-04	2.1901e-01	7.8013e-01	6.8878e-04	1.5216e-03	5.3991e-01	4.5824e-01	3.2802e-04	1.1755e-36	1.1755e-36	2.0359e-25	0.00e+00	0.00e+00	3.9771e-03
5.77859e+16	6.6422e+03	3.219e-22	1.0000e+01	1.0829e+01	1.2993e-13	2.7509e-03	9.9725e-01	1.4906e-02	9.8301e-01	2.0867e-03	3.2463e-17	1.7070e-04	2.1952e-01	7.7963e-01	6.8221e-04	1.5253e-03	5.4079e-01	4.5737e-01	3.0886e-04	1.1755e-36	1.1755e-36	2.0366e-25	0.00e+00	0.00e+00	1.6096e-02
1.38032e+17	6.5930e+03	3.185e-22	1.0000e+01	1.0829e+01	1.3242e-13	2.7294e-03	9.9727e-01	1.4931e-02	9.8304e-01	2.0343e-03	3.1932e-17	1.6965e-04	2.1994e-01	7.7921e-01	6.7443e-04	1.5176e-03	5.4159e-01	4.5661e-01	2.8383e-04	1.1755e-36	1.1755e-36	1.9682e-25	0.00e+00	0.00e+00	3.1728e-02
2.42352e+17	6.5425e+03	3.151e-22	1.0000e+01	1.0829e+01	1.3559e-13	2.7122e-03	9.9729e-01	1.4983e-02	9.8311e-01	1.9098e-03	3.1598e-17	1.6933e-04	2.2068e-01	7.7849e-01	6.6161e-04	1.5147e-03	5.4308e-01	4.5515e-01	2.5302e-04	1.1755e-36	1.1755e-36	1.9138e-25	0.00e+00	0.00e+00	5.1922e-02
3.77968e+17	6.4880e+03	3.114e-22	1.0000e+01	1.0829e+01	1.3961e-13	2.6984e-03	9.9730e-01	1.5068e-02	9.8321e-01	1.7175e-03	3.1413e-17	1.6953e-04	2.2179e-01	7.7740e-01	6.4373e-04	1.5166e-03	5.4540e-01	4.5287e-01	2.1687e-04	1.1755e-36	1.1755e-36	1.8668e-25	0.00e+00	0.00e+00	7.8040e-02
5.54268e+17	6.4281e+03	3.074e-22	1.0000e+01	1.0829e+01	1.4503e-13	2.6890e-03	9.9731e-01	1.5196e-02	9.8334e-01	1.4616e-03	3.1459e-17	1.7029e-04	2.2340e-01	7.7581e-01	6.2055e-04	1.5249e-03	5.4884e-01	4.4946e-01	1.7656e-04	1.1755e-36	1.1755e-36	1.8327e-25	0.00e+00	0.00e+00	1.1187e-01
7.83459e+17	6.3627e+03	3.030e-22	1.0000e+01	1.0829e+01	1.5191e-13	2.6859e-03	9.9731e-01	1.5384e-02	9.8346e-01	1.1580e-03	3.1750e-17	1.7182e-04	2.2569e-01	7.7354e-01	5.9234e-04	1.5420e-03	5.5374e-01	4.4458e-01	1.3440e-04	1.1755e-36	1.1755e-36	1.8074e-25	0.00e+00	0.00e+00	1.5581e-01
1.08141e+18	6.2925e+03	2.982e-22	1.0000e+01	1.0828e+01	1.6094e-13	2.6925e-03	9.9731e-01	1.5654e-02	9.8351e-01	8.3708e-04	3.2448e-17	1.7443e-04	2.2894e-01	7.7033e-01	5.5997e-04	1.5713e-03	5.6054e-01	4.3780e-01	9.3790e-05	1.1755e-36	1.1755e-36	1.8011e-25	0.00e+00	0.00e+00	2.1307e-01
1.46874e+18	6.2192e+03	2.931e-22	1.0000e+01	1.0827e+01	1.7286e-13	2.7140e-03	9.9729e-01	1.6044e-02	9.8342e-01	5.3910e-04	3.3758e-17	1.7864e-04	2.3352e-01	7.6578e-01	5.2462e-04	1.6183e-03	5.6971e-01	4.2861e-01	5.8547e-05	1.1755e-36	1.1755e-36	1.8234e-25	0.00e+00	0.00e+00	2.8809e-01
1.97227e+18	6.1461e+03	2.879e-22	1.0000e+01	1.0826e+01	1.8902e-13	2.7582e-03	9.9724e-01	1.6611e-02	9.8309e-01	3.0104e-04	3.6093e-17	1.8525e-04	2.4003e-01	7.5930e-01	4.8714e-04	1.6908e-03	5.8193e-01	4.1634e-01	3.1732e-05	1.1755e-36	1.1755e-36	1.8980e-25	0.00e+00	0.00e+00	3.8722e-01
2.62686e+18	6.0771e+03	2.828e-22	1.0000e+01	1.0825e+01	2.1104e-13	2.8387e-03	9.9716e-01	1.7461e-02	9.8240e-01	1.4135e-04	4.0057e-17	1.9551e-04	2.4943e-01	7.4993e-01	4.4716e-04	1.8030e-03	5.9818e-01	4.0000e-01	1.4404e-05	1.1755e-36	1.1755e-36	2.0490e-25	0.00e+00	0.00e+00	5.1984e-01
3.47783e+18	6.0281e+03	2.778e-22	1.0000e+01	1.0821e+01	2.4088e-13	2.9749e-03	9.9703e-01	1.8739e-02	9.8121e-01	5.3995e-05	4.7096e-17	2.1176e-04	2.6310e-01	7.3628e-01	4.0347e-04	1.9773e-03	6.1988e-01	3.7813e-01	5.2533e-06	1.1755e-36	1.1755e-36	2.3595e-25	0.00e+00	0.00e+00	7.0053e-01
4.58409e+18	5.9975e+03	2.741e-22	1.0000e+01	1.0817e+01	2.8762e-13	3.2137e-03	9.9679e-01	2.0827e-02	9.7916e-01	1.6201e-05	6.0632e-17	2.3836e-04	2.8409e-01	7.1531e-01	3.5223e-04	2.2660e-03	6.4977e-01	3.4796e-01	1.4642e-06	1.1755e-36	1.1755e-36	2.9988e-25	0.00e+00	0.00e+00	9.5427e-01
5.73602e+18	6.0138e+03	2.709e-22	1.0000e+01	1.0812e+01	3.3385e-13	3.5007e-03	9.9650e-01	2.3417e-02	9.7658e-01	4.7360e-06	7.9131e-17	2.7048e-04	3.0830e-01	6.9112e-01	3.0559e-04	2.6172e-03	6.8094e-01	3.1645e-01	3.9915e-07	1.1755e-36	1.1755e-36	3.9002e-25	0.00e+00	0.00e+00	1.1871e+00
6.68464e+18	6.0609e+03	2.705e-22	1.0000e+01	1.0806e+01	3.8086e-13	3.8224e-03	9.9618e-01	2.6282e-02	9.7372e-01	1.8619e-06	1.0363e-16	3.0494e-04	3.3290e-01	6.6653e-01	2.6799e-04	3.0041e-03	7.0910e-01	2.8790e-01	1.4296e-07	1.1755e-36	1.1755e-36	5.1742e-25	0.00e+00	0.00e+00	1.3908e+00
7.49353e+18	6.1271e+03	2.715e-22	1.0000e+01	1.0800e+01	4.3127e-13	4.1798e-03	9.9582e-01	2.9499e-02	9.7050e-01	8.8750e-07	1.3655e-16	3.4242e-04	3.5832e-01	6.4110e-01	2.3566e-04	3.4351e-03	7.3542e-01	2.6115e-01	1.1755e-36	1.1755e-36	1.1755e-36	6.9862e-25	0.00e+00	0.00e+00	1.5950e+00
8.26359e+18	6.2023e+03	2.734e-22	1.0000e+01	1.0791e+01	4.9462e-13	4.6094e-03	9.9539e-01	3.3497e-02	9.6650e-01	4.5540e-07	1.8439e-16	3.8619e-04	3.8707e-01	6.1234e-01	2.0455e-04	3.9588e-03	7.6230e-01	2.3374e-01	1.1755e-36	1.1755e-36	1.1755e-36	9.7383e-25	0.00e+00	0.00e+00	1.8180e+00
9.01136e+18	6.2861e+03	2.763e-22	1.0000e+01	1.0781e+01	5.7582e-13	5.1321e-03	9.9487e-01	3.8609e-02	9.6139e-01	2.4684e-07	2.5555e-16	4.3795e-04	4.1999e-01	5.7940e-01	1.7436e-04	4.6046e-03	7.8986e-01	2.0553e-01	1.1755e-36	1.1755e-36	1.1755e-36	1.4034e-24	0.00e+00	0.00e+00	2.0543e+00
9.70313e+18	6.3663e+03	2.802e-22	1.0000e+01	1.0769e+01	6.8231e-13	5.7481e-03	9.9425e-01	4.5016e-02	9.5498e-01	1.4423e-07	3.5907e-16	4.9652e-04	4.5616e-01	5.4320e-01	1.4630e-04	5.3745e-03	8.1663e-01	1.7800e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.0608e-24	0.00e+00	0.00e+00	2.2918e+00
1.03187e+19	6.4529e+03	2.843e-22	1.0000e+01	1.0755e+01	8.0486e-13	6.4358e-03	9.9356e-01	5.2775e-02	9.4723e-01	9.1390e-08	5.0193e-16	5.5917e-04	4.9386e-01	5.0546e-01	1.2158e-04	6.2454e-03	8.4122e-01	1.5253e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.0193e-24	0.00e+00	0.00e+00	2.5262e+00
1.08698e+19	6.5272e+03	2.890e-22	1.0000e+01	1.0740e+01	9.6404e-13	7.2168e-03	9.9278e-01	6.2429e-02	9.3757e-01	6.1462e-08	7.0215e-16	6.2639e-04	5.3334e-01	4.6594e-01	9.9495e-05	7.2420e-03	8.6370e-01	1.2906e-01	1.1755e-36	1.1755e-36	1.1755e-36	4.4380e-24	0.00e+00	0.00e+00	2.7656e+00
1.13767e+19	6.5989e+03	2.939e-22	1.0000e+01	1.0723e+01	1.1667e-12	8.1173e-03	9.9188e-01	7.4764e-02	9.2524e-01	4.2982e-08	9.8735e-16	6.9918e-04	5.7500e-01	4.2422e-01	7.9703e-05	8.3994e-03	8.8435e-01	1.0725e-01	1.1755e-36	1.1755e-36	1.1755e-36	6.5849e-24	0.00e+00	0.00e+00	3.0159e+00
1.18080e+19	6.6480e+03	2.992e-22	1.0000e+01	1.0698e+01	1.4205e-12	9.0851e-03	9.9091e-01	8.9318e-02	9.1068e-01	3.1878e-08	1.3568e-15	7.7003e-04	6.1523e-01	3.8394e-01	6.3512e-05	9.6451e-03	9.0159e-01	8.8767e-02	1.1755e-36	1.1755e-36	1.1755e-36	9.5167e-24	0.00e+00	0.00e+00	3.2306e+00
1.21534e+19	6.6953e+03	3.036e-22	1.0000e+01	1.0674e+01	1.6856e-12	1.0029e-02	9.8997e-01	1.0546e-01	8.9454e-01	2.5054e-08	1.7914e-15	8.3421e-04	6.5098e-01	3.4814e-01	5.1137e-05	1.0865e-02	9.1500e-01	7.4135e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.3171e-23	0.00e+00	0.00e+00	3.4310e+00
1.24684e+19	6.7297e+03	3.078e-22	1.0000e+01	1.0647e+01	2.0207e-12	1.1068e-02	9.8893e-01	1.2538e-01	8.7462e-01	1.9927e-08	2.3576e-15	8.9859e-04	6.8630e-01	3.1276e-01	4.0485e-05	1.2209e-02	9.2662e-01	6.1168e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.8179e-23	0.00e+00	0.00e+00	3.6502e+00
1.27795e+19	6.7514e+03	3.127e-22	1.0000e+01	1.0613e+01	2.4894e-12	1.2319e-02	9.8768e-01	1.5263e-01	8.4737e-01	1.5774e-08	3.1644e-15	9.6771e-04	7.2359e-01	2.7541e-01	3.0826e-05	1.3822e-02	9.3725e-01	4.8925e-02	1.1755e-36	1.1755e-36	1.1755e-36	2.5704e-23	0.00e+00	0.00e+00	3.8901e+00
1.30693e+19	6.7922e+03	3.167e-22	1.0000e+01	1.0573e+01	3.0259e-12	1.3706e-02	9.8629e-01	1.8843e-01	8.1157e-01	1.2600e-08	4.2414e-15	1.0354e-03	7.5991e-01	2.3903e-01	2.2876e-05	1.5613e-02	9.4622e-01	3.8171e-02	1.1755e-36	1.1755e-36	1.1755e-36	3.6405e-23	0.00e+00	0.00e+00	4.1249e+00
1.33192e+19	6.8058e+03	3.204e-22	1.0000e+01	1.0518e+01	3.7112e-12	1.5171e-02	9.8483e-01	2.3207e-01	7.6793e-01	1.0110e-08	5.5843e-15	1.0956e-03	7.9243e-01	2.0645e-01	1.6818e-05	1.7499e-02	9.5298e-01	2.9516e-02	1.1755e-36	1.1755e-36	1.1755e-36	5.0303e-23	0.00e+00	0.00e+00	4.3438e+00
1.35075e+19	6.8121e+03	3.231e-22	1.0000e+01	1.0462e+01	4.3994e-12	1.6477e-02	9.8352e-01	2.7713e-01	7.2287e-01	8.4120e-09	6.9825e-15	1.1409e-03	8.1711e-01	1.8174e-01	1.2868e-05	1.9174e-02	9.5736e-01	2.3471e-02	1.1755e-36	1.1755e-36	1.1755e-36	6.5339e-23	0.00e+00	0.00e+00	4.4978e+00
1.36387e+19	6.8237e+03	3.245e-22	1.0000e+01	1.0419e+01	4.9577e-12	1.7496e-02	9.8250e-01	3.1731e-01	6.8269e-01	7.3067e-09	8.2354e-15	1.1721e-03	8.3414e-01	1.6467e-01	1.0431e-05	2.0480e-02	9.5998e-01	1.9544e-02	1.1755e-36	1.1755e-36	1.1755e-36	7.9203e-23	0.00e+00	0.00e+00	4.6242e+00
1.37702e+19	6.8216e+03	3.255e-22	1.0000e+01	1.0365e+01	5.6949e-12	1.8648e-02	9.8135e-01	3.6566e-01	6.3434e-01	6.1465e-09	9.8247e-15	1.2023e-03	8.5070e-01	1.4809e-01	8.2515e-06	2.1950e-02	9.6213e-01	1.5924e-02	1.1755e-36	1.1755e-36	1.1755e-36	9.7084e-23	0.00e+00	0.00e+00	4.7992e+00
1.39177e+19	6.8138e+03	3.272e-22	1.0000e+01	1.0316e+01	6.7623e-12	2.0139e-02	9.7986e-01	4.3186e-01	5.6814e-01	4.9865e-09	1.2189e-14	1.2368e-03	8.6830e-01	1.3046e-01	6.1947e-06	2.3842e-02	9.6385e-01	1.2309e-02	1.1755e-36	1.1755e-36	1.1755e-36	1.2463e-22	0.00e+00	0.00e+00	4.9853e+00
1.40515e+19	6.8062e+03	3.279e-22	1.0000e+01	1.0248e+01	7.9603e-12	2.1659e-02	9.7834e-01	5.0360e-01	4.9640e-01	3.9714e-09	1.4951e-14	1.2635e-03	8.8297e-01	1.1577e-01	4.6668e-06	2.5765e-02	9.6480e-01	9.4360e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.5727e-22	0.00e+00	0.00e+00	5.1511e+00
1.41668e+19	6.7961e+03	3.277e-22	1.0000e+01	1.0173e+01	9.2483e-12	2.3126e-02	9.7687e-01	5.7330e-01	4.2670e-01	3.1383e-09	1.7975e-14	1.2830e-03	8.9435e-01	1.0436e-01	3.5864e-06	2.7615e-02	9.6508e-01	7.3064e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.9355e-22	0.00e+00	0.00e+00	5.3110e+00
1.42927e+19	6.7777e+03	3.274e-22	1.0000e+01	1.0090e+01	1.1069e-11	2.4959e-02	9.7504e-01	6.5389e-01	3.4611e-01	2.3104e-09	2.2252e-14	1.3023e-03	9.0535e-01	9.3347e-02	2.6290e-06	2.9914e-02	9.6471e-01	5.3752e-03	1.1755e-36	1.1755e-36	1.1755e-36	2.4660e-22	0.00e+00	0.00e+00	5.5352e+00
1.44564e+19	6.7600e+03	3.256e-22	1.0000e+01	9.9464e+00	1.3974e-11	2.7617e-02	9.7238e-01	7.5363e-01	2.4637e-01	1.4372e-09	2.9240e-14	1.3177e-03	9.1670e-01	8.1985e-02	1.7349e-06	3.3237e-02	9.6327e-01	3.4927e-03	1.1755e-36	1.1755e-36	1.1755e-36	3.3724e-22	0.00e+00	0.00e+00	5.8579e+00
1.46398e+19	6.7273e+03	3.260e-22	1.0000e+01	9.8268e+00	1.8937e-11	3.1467e-02	9.6853e-01	8.4860e-01	1.5140e-01	7.7336e-10	4.0796e-14	1.3368e-03	9.2684e-01	7.1818e-02	1.0542e-06	3.8014e-02	9.5994e-01	2.0479e-03	1.1755e-36	1.1755e-36	1.1755e-36	5.0678e-22	0.00e+00	0.00e+00	6.2194e+00
1.48198e+19	6.7036e+03	3.281e-22	1.0000e+01	9.7436e+00	2.6300e-11	3.6429e-02	9.6357e-01	9.1331e-01	8.6694e-02	3.9413e-10	5.7888e-14	1.3569e-03	9.3477e-01	6.3869e-02	6.2512e-07	4.4140e-02	9.5470e-01	1.1618e-03	1.1755e-36	1.1755e-36	1.1755e-36	8.0507e-22	0.00e+00	0.00e+00	6.6287e+00
1.49934e+19	6.6945e+03	3.298e-22	1.0000e+01	9.6375e+00	3.7003e-11	4.2572e-02	9.5743e-01	9.5075e-01	4.9247e-02	2.0041e-10	8.2505e-14	1.3690e-03	9.4101e-01	5.7622e-02	3.7096e-07	5.1700e-02	9.4764e-01	6.5736e-04	1.1755e-36	1.1755e-36	1.1755e-36	1.3261e-21	0.00e+00	0.00e+00	7.0836e+00
