#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
1.47310e+14	6.5535e+03	2.721e-21	2.7826e+01	2.9268e+01	6.3081e-11	2.8915e-02	9.7108e-01	9.2247e-02	9.0674e-01	1.0169e-03	6.0470e-14	5.7032e-03	6.4960e-01	3.4465e-01	4.2998e-05	3.3502e-02	9.2064e-01	4.5855e-02	3.4834e-06	1.1755e-36	1.1755e-36	7.1037e-22	0.00e+00	0.00e+00	1.4970e-03
8.83858e+14	6.5444e+03	2.712e-21	2.7826e+01	2.9215e+01	6.3307e-11	2.8851e-02	9.7115e-01	9.2208e-02	9.0678e-01	1.0170e-03	6.0066e-14	5.6746e-03	6.4953e-01	3.4475e-01	4.3150e-05	3.3428e-02	9.2062e-01	4.5949e-02	3.4884e-06	1.1755e-36	1.1755e-36	7.0232e-22	0.00e+00	0.00e+00	7.4714e-03
3.83005e+15	6.5214e+03	2.698e-21	2.7826e+01	2.9207e+01	6.4721e-11	2.8874e-02	9.7113e-01	9.2637e-02	9.0635e-01	1.0090e-03	6.0280e-14	5.6712e-03	6.5072e-01	3.4356e-01	4.2835e-05	3.3469e-02	9.2072e-01	4.5811e-02	3.4366e-06	1.1755e-36	1.1755e-36	7.0206e-22	0.00e+00	0.00e+00	3.1389e-02
1.56148e+16	6.4538e+03	2.664e-21	2.7826e+01	2.9191e+01	7.0681e-11	2.9247e-02	9.7075e-01	9.4528e-02	9.0450e-01	9.7338e-04	6.2473e-14	5.7419e-03	6.5574e-01	3.3848e-01	4.1215e-05	3.3968e-02	9.2120e-01	4.4826e-02	3.1804e-06	1.1755e-36	1.1755e-36	7.2520e-22	0.00e+00	0.00e+00	1.2829e-01
3.72988e+16	6.2295e+03	2.554e-21	2.7826e+01	2.9194e+01	8.4550e-11	2.8928e-02	9.7107e-01	9.7301e-02	9.0177e-01	9.3022e-04	6.1672e-14	5.7510e-03	6.6330e-01	3.3091e-01	3.9729e-05	3.3680e-02	9.2170e-01	4.4621e-02	2.9911e-06	1.1755e-36	1.1755e-36	6.8113e-22	0.00e+00	0.00e+00	2.5289e-01
5.86507e+16	6.0290e+03	2.465e-21	2.7826e+01	2.9195e+01	1.0012e-10	2.8666e-02	9.7133e-01	9.9675e-02	8.9943e-01	8.9270e-04	6.0892e-14	5.7631e-03	6.6972e-01	3.2447e-01	3.8412e-05	3.3450e-02	9.2216e-01	4.4384e-02	2.8284e-06	1.1755e-36	1.1755e-36	6.4380e-22	0.00e+00	0.00e+00	3.4452e-01
7.56093e+16	5.9244e+03	2.424e-21	2.7826e+01	2.9184e+01	1.1305e-10	2.8918e-02	9.7108e-01	1.0178e-01	8.9736e-01	8.5777e-04	6.2425e-14	5.8344e-03	6.7508e-01	3.1904e-01	3.6886e-05	3.3816e-02	9.2270e-01	4.3476e-02	2.6170e-06	1.1755e-36	1.1755e-36	6.5208e-22	0.00e+00	0.00e+00	4.2443e-01
9.36939e+16	5.8571e+03	2.402e-21	2.7826e+01	2.9162e+01	1.2782e-10	2.9652e-02	9.7035e-01	1.0456e-01	8.9463e-01	8.1460e-04	6.6462e-14	5.9773e-03	6.8161e-01	3.1238e-01	3.4759e-05	3.4769e-02	9.2341e-01	4.1819e-02	2.3241e-06	1.1755e-36	1.1755e-36	6.9945e-22	0.00e+00	0.00e+00	5.3095e-01
1.17204e+17	5.7889e+03	2.382e-21	2.7826e+01	2.9125e+01	1.4918e-10	3.0816e-02	9.6918e-01	1.0840e-01	8.9084e-01	7.6012e-04	7.3039e-14	6.1896e-03	6.9020e-01	3.0358e-01	3.1993e-05	3.6261e-02	9.2425e-01	3.9492e-02	1.9670e-06	1.1755e-36	1.1755e-36	7.8276e-22	0.00e+00	0.00e+00	6.7486e-01
1.47767e+17	5.7250e+03	2.368e-21	2.7826e+01	2.9077e+01	1.8163e-10	3.2699e-02	9.6730e-01	1.1392e-01	8.8538e-01	6.9245e-04	8.4339e-14	6.5115e-03	7.0172e-01	2.9174e-01	2.8435e-05	3.8651e-02	9.2508e-01	3.6272e-02	1.5527e-06	1.1755e-36	1.1755e-36	9.3774e-22	0.00e+00	0.00e+00	8.7338e-01
1.87499e+17	5.6831e+03	2.361e-21	2.7826e+01	2.8968e+01	2.3068e-10	3.5732e-02	9.6427e-01	1.2186e-01	8.7753e-01	6.1201e-04	1.0423e-13	6.9928e-03	7.1682e-01	2.7616e-01	2.4081e-05	4.2472e-02	9.2558e-01	3.1950e-02	1.1101e-06	1.1755e-36	1.1755e-36	1.2360e-21	0.00e+00	0.00e+00	1.1554e+00
2.33731e+17	5.6762e+03	2.365e-21	2.7826e+01	2.8799e+01	3.0030e-10	4.0168e-02	9.5983e-01	1.3217e-01	8.6730e-01	5.3073e-04	1.3726e-13	7.6279e-03	7.3429e-01	2.5807e-01	1.9537e-05	4.8022e-02	9.2493e-01	2.7043e-02	7.2949e-07	1.1755e-36	1.1755e-36	1.7906e-21	0.00e+00	0.00e+00	1.4910e+00
2.82697e+17	5.7223e+03	2.388e-21	2.7826e+01	2.8587e+01	3.9644e-10	4.6643e-02	9.5336e-01	1.4549e-01	8.5405e-01	4.5430e-04	1.9483e-13	8.4439e-03	7.5393e-01	2.3761e-01	1.5100e-05	5.6061e-02	9.2208e-01	2.1857e-02	4.3913e-07	1.1755e-36	1.1755e-36	2.9039e-21	0.00e+00	0.00e+00	1.9039e+00
3.30822e+17	5.8268e+03	2.422e-21	2.7826e+01	2.8301e+01	5.1851e-10	5.5423e-02	9.4458e-01	1.6128e-01	8.3833e-01	3.9032e-04	2.9103e-13	9.3739e-03	7.7385e-01	2.1676e-01	1.1285e-05	6.6883e-02	9.1608e-01	1.7037e-02	2.5005e-07	1.1755e-36	1.1755e-36	5.1070e-21	0.00e+00	0.00e+00	2.3506e+00
3.73500e+17	5.9432e+03	2.467e-21	2.7826e+01	2.7959e+01	6.8807e-10	6.6573e-02	9.3343e-01	1.7900e-01	8.2066e-01	3.3980e-04	4.4574e-13	1.0329e-02	7.9302e-01	1.9665e-01	8.2907e-06	8.0528e-02	9.0642e-01	1.3052e-02	1.4062e-07	1.1755e-36	1.1755e-36	9.3498e-21	0.00e+00	0.00e+00	2.8125e+00
4.10425e+17	6.0732e+03	2.504e-21	2.7826e+01	2.7533e+01	9.0491e-10	7.9929e-02	9.2007e-01	1.9815e-01	8.0155e-01	3.0024e-04	6.8240e-13	1.1220e-02	8.1058e-01	1.7819e-01	6.0733e-06	9.6749e-02	8.9331e-01	9.9401e-03	1.1755e-36	1.1755e-36	1.1755e-36	1.7165e-20	0.00e+00	0.00e+00	3.2952e+00
